294381_3852	3702_1946	10090_6640	31033_844	507601_4398	7227_4877	578460_918	3702_1947	9606_15262
294381_4426	3702_6943	10090_1974	3702_6944	31033_10352	507601_2010	7227_21731	9606_4632	578460_924
294381_1995	3702_585	10090_13043	31033_42171	507601_1098	7227_10617	578460_1383	9606_9401
294381_747	3702_2201	31033_38901	10090_7135	507601_3607	7227_9766	578460_1182	9606_7429
294381_853	3702_2633	31033_34221	10090_15254	507601_4354	7227_12223	578460_827	9606_418
294381_1879	3702_2917	31033_6774	10090_3087	578460_871	7227_8044	507601_2779	9606_3675
10090_11049	3702_3111	31033_19425	294381_2860	578460_725	7227_10567	507601_4012	9606_27360
294381_7415	3702_4409	10090_15422	31033_2653	7227_3244	578460_458	507601_3392	9606_8320
294381_5727	3702_5240	10090_27647	31033_19529	507601_4471	7227_8510	578460_1177	9606_1902
294381_7875	3702_5419	10090_3231	31033_46511	7227_4339	578460_1062	507601_2191	9606_11203
294381_6016	3702_5452	10090_5756	31033_16415	507601_7912	7227_8824	578460_386	9606_30105
294381_2413	3702_5551	10090_8691	31033_8599	578460_879	7227_5044	507601_3907	9606_7909
294381_5911	3702_6079	10090_8494	31033_35791	578460_937	7227_3518	507601_706	9606_1545
294381_7455	3702_6860	31033_35037	10090_122	578460_527	7227_4143	9606_9610	507601_4233
294381_1981	3702_6862	10090_9048	31033_19060	7227_5904	578460_65	507601_7597	9606_186
294381_7695	3702_6874	10090_24230	31033_42965	578460_2186	7227_20277	507601_2536	9606_979
294381_3723	3702_6878	31033_41686	10090_8973	7227_21729	507601_3368	9606_147	578460_449
10090_8775	3702_6904	31033_19378	294381_2115	7227_9006	578460_1296	507601_270	9606_29207
10090_1629	3702_6912	294381_2147	31033_2397	7227_2664	507601_4881	578460_604	9606_5535
294381_1191	3702_6946	10090_8632	31033_42850	578460_409	7227_5914	507601_6884	9606_2904
294381_1643	3702_6957	10090_3679	31033_23571	507601_3446	7227_5906	578460_69	9606_8225
10090_14906	3702_7441	31033_20454	294381_4696	507601_5327	7227_5918	578460_1286	9606_11412
10090_16715	3702_7476	31033_14844	294381_3476	578460_1024	7227_14098	507601_5254	9606_37204
294381_7557	3702_7532	10090_7968	31033_17674	578460_506	7227_14304	507601_3165	9606_2640
10090_13940	3702_7558	31033_44798	294381_1525	7227_15579	578460_2259	507601_1821	9606_10143
31033_19887	3702_7561	10090_6077	7227_1249	578460_956	507601_771	294381_2243	9606_9409
31033_17958	3702_7612	10090_7200	294381_784	578460_1197	7227_10822	507601_6237	9606_3824
294381_1991	3702_7639	10090_2096	31033_32222	7227_2576	578460_327	507601_5024	9606_456
294381_2674	3702_7661	10090_2687	31033_29234	578460_1053	7227_1854	507601_3092	9606_20224
10090_862	3702_7686	31033_38700	294381_218	578460_1083	7227_2571	507601_1554	9606_10566
294381_6107	3702_7737	10090_1756	31033_41204	7227_327	578460_1214	507601_2605	9606_7571
10090_19897	3702_8239	294381_8113	31033_24090	578460_1453	7227_15520	507601_3577	9606_7269
10090_7407	3702_8246	31033_43815	294381_3426	7227_5297	578460_884	507601_3887	9606_10668
294381_5075	3702_8338	10090_23056	31033_15339	578460_932	7227_1548	507601_7596	9606_12355
10090_3239	3702_8339	294381_7597	31033_25287	578460_317	7227_2689	507601_1210	9606_6394
294381_1198	3702_8807	10090_15159	31033_44350	578460_1261	7227_4025	507601_876	9606_5133
31033_47117	3702_8812	10090_3344	294381_5434	578460_64	7227_4262	507601_307	9606_709
294381_3781	3702_8816	31033_1197	10090_665	578460_1457	7227_2596	507601_5490	9606_2161
10090_3746	3702_9041	294381_1983	7227_628	507601_6868	578460_1003	31033_44541	9606_6717
294381_163	3702_12796	31033_19775	10090_4116	578460_887	7227_15960	507601_1580	9606_492
10090_28805	3702_12821	31033_32117	294381_3464	578460_873	7227_2405	507601_5583	9606_39983
294381_3118	3702_13645	10090_792	31033_10555	507601_1216	7227_13018	578460_944	9606_311
10090_2730	3702_13982	294381_7225	31033_32547	507601_6515	7227_4937	578460_1169	9606_8801
294381_3442	3702_14674	10090_1148	31033_16184	507601_5277	7227_5907	578460_1122	9606_4007
294381_5714	3702_14888	10090_4363	31033_38767	578460_284	7227_2637	507601_7743	9606_17765
31033_35668	3702_19299	294381_5607	10090_184	7227_21595	507601_7989	9606_3156	578460_908
294381_6099	3702_21366	31033_42544	10090_26097	507601_1217	7227_8102	578460_1241	9606_31343
294381_4655	3702_22286	10090_3336	31033_8969	578460_945	7227_20327	507601_2922	9606_27292
294381_196	3702_22630	31033_16944	10090_3710	578460_1505	7227_12901	507601_7295	9606_7387
294381_3976	3702_22684	10090_15289	31033_8901	578460_726	7227_16549	507601_2431	9606_6052
31033_9783	3702_23553	10090_9940	7227_13487	507601_3722	9606_10107	294381_7889	578460_732
10090_7115	3702_24335	31033_23035	294381_1258	507601_2764	7227_10627	578460_2195	9606_29347
294381_5371	3702_24655	31033_25964	10090_3615	7227_21542	578460_922	507601_7928	9606_165
294381_756	3702_25013	31033_5652	10090_12846	507601_2285	7227_10131	9606_13368	578460_2506
10090_39380	3702_25523	31033_7579	294381_6082	578460_1680	7227_4400	507601_2086	9606_7049
294381_6423	3702_25601	10090_14371	31033_10536	507601_556	7227_12602	578460_1858	9606_3912
10090_3948	3702_25652	294381_6543	31033_907	507601_573	7227_2998	578460_992	9606_16342
294381_6969	3702_25938	10090_15083	31033_20096	507601_7133	7227_1883	578460_38	9606_1347
10090_18035	3702_26579	31033_47641	294381_7288	7227_4732	578460_403	507601_3152	9606_7184
294381_3104	3702_27539	10090_3439	31033_3262	507601_634	7227_4509	578460_897	9606_1669
10090_7798	3702_27594	294381_1498	31033_4827	7227_10618	578460_447	507601_1443	9606_10860
294381_1149	3702_28850	10090_13015	31033_16272	578460_876	7227_3398	507601_8025	9606_5717
294381_4805	3702_29220	10090_6215	31033_28455	7227_6606	507601_6429	578460_631	9606_21452
294381_1196	3702_29985	10090_2452	31033_3127	578460_1116	7227_8867	507601_7139	9606_38119
10090_6116	3702_30713	31033_1045	294381_4416	507601_4557	7227_21440	578460_955	9606_21855
31033_4938	3702_31200	10090_906	294381_5512	578460_1626	7227_6263	507601_5769	9606_4139
10090_5217	3702_31269	31033_28589	294381_2032	7227_10656	578460_1367	507601_3215	9606_15496
294381_4525	3702_32332	10090_9001	31033_41041	578460_1492	7227_6666	507601_7976	9606_6108
10090_2774	3702_32532	31033_30346	294381_5738	578460_545	7227_15671	507601_5227	9606_7358
294381_1699	3702_33081	31033_12841	10090_9103	578460_1601	7227_4491	507601_6243	9606_19400
31033_19408	3702_33379	10090_5597	294381_6959	7227_6425	578460_1018	507601_5132	9606_27142
294381_7873	3702_33979	10090_13667	31033_29650	507601_7505	7227_8929	9606_11650	578460_1985
294381_3462	3702_34084	10090_5820	31033_15940	507601_7967	7227_5074	578460_378	9606_8362
294381_1518	3702_34695	10090_3927	31033_24063	7227_2512	578460_1344	507601_3026	9606_15736
294381_3100	3702_160	10090_16223	31033_42672	7227_20401	507601_6213	9606_6376
31033_13554	3702_639	10090_4334	578460_1458	7227_2168	507601_2642	9606_1600
294381_3406	3702_813	10090_2895	31033_14742	7227_13212	507601_4314	9606_4843
10090_23997	3702_1326	31033_9224	507601_4273	7227_9720	9606_17893	578460_794
10090_6829	3702_1989	31033_26172	294381_4480	507601_4051	7227_6054	9606_5182
294381_580	3702_2193	10090_8552	31033_24320	507601_3586	7227_5273	9606_18765
294381_2604	3702_2274	31033_38190	10090_17207	7227_12205	507601_3440	9606_3271
294381_1447	3702_2632	31033_11649	10090_5772	7227_20454	507601_5604	9606_3849
3702_2670	10090_25950	294381_5858	578460_499	7227_11284	507601_1389	9606_3162
10090_17406	3702_2712	31033_19011	507601_2127	7227_21770	578460_2419	9606_4042
10090_28336	3702_2724	31033_12656	7227_5618	294381_4595	9606_39837	31033_13889
294381_568	3702_2805	10090_678	31033_31351	507601_5289	7227_9208	9606_11079
10090_13389	3702_2886	31033_4974	294381_2963	7227_6157	9606_16583	507601_6053
294381_6590	3702_2962	10090_4499	31033_2111	578460_588	7227_13383	9606_22732
31033_2473	3702_3062	10090_11965	294381_5853	7227_3550	9606_21037	507601_7331
10090_11314	3702_4667	294381_7016	31033_18094	7227_7215	507601_2991	9606_672
294381_3698	3702_5149	10090_1867	31033_528	7227_792	9606_3223	578460_576
294381_3046	3702_5168	31033_8909	10090_3254	7227_13679	507601_5114	9606_1775
10090_9888	3702_5231	31033_19437	294381_4831	507601_2094	9606_1969	578460_2009
31033_45831	3702_5239	10090_15534	294381_3530	7227_910	9606_3232	507601_6032
31033_36251	3702_5273	294381_7831	7227_3983	507601_6641	10090_5487	9606_9742
294381_17	3702_5277	31033_11394	10090_2839	507601_563	7227_3547	9606_1401
294381_7365	3702_5549	10090_8633	31033_12075	7227_9946	507601_6620	9606_14964
294381_7022	3702_6001	31033_10808	10090_958	7227_2700	507601_4605	9606_25374
294381_5479	3702_6002	10090_8375	31033_5224	507601_832	7227_14298	9606_7690
294381_4406	3702_6003	31033_16489	10090_212	7227_15315	507601_5858	9606_16278
294381_5627	3702_6023	10090_4297	31033_41749	7227_8257	507601_1575	9606_966
294381_4032	3702_6853	31033_12900	10090_9166	7227_6891	507601_1874	9606_11756
294381_424	3702_6877	10090_15680	31033_21527	507601_6246	7227_4392	9606_838
294381_2398	3702_6879	10090_24417	31033_4782	7227_3805	507601_6394	9606_7600
294381_4778	3702_6881	10090_4509	31033_14598	507601_3195	7227_5260	9606_3695
10090_8843	3702_6915	31033_36126	578460_1534	7227_4391	507601_3580	9606_2834
10090_12300	3702_6945	31033_26858	294381_3078	7227_975	507601_6834	9606_779
10090_27451	3702_7124	31033_27954	294381_2612	7227_2427	507601_4429	9606_10464
31033_23068	3702_7134	10090_13783	294381_530	578460_1304	7227_2575	9606_9333
10090_8397	3702_7174	31033_11541	294381_6140	578460_402	507601_7138	9606_6195
10090_6277	3702_7314	31033_34687	7227_5522	9606_11585	507601_6502	294381_1551
31033_28360	3702_7325	294381_2001	10090_3197	7227_13979	507601_897	9606_7549
294381_1121	3702_7342	31033_19494	10090_20231	507601_4065	7227_7122	9606_20955
294381_5284	3702_7446	10090_15529	31033_39557	507601_6068	7227_12134	9606_249
294381_4408	3702_7491	10090_15015	31033_45932	507601_7501	7227_16369	9606_11008
294381_4951	3702_7511	10090_12003	31033_24842	7227_3629	507601_2377	9606_7437
294381_1123	3702_7559	10090_14291	31033_1683	7227_9036	507601_5946	9606_6696
294381_3727	31033_18059	578460_751	7227_16052	507601_1772	10090_14843	9606_40040
31033_8777	3702_7691	294381_5094	10090_7738	7227_1467	507601_3651	9606_12934
10090_14958	3702_7729	31033_24244	294381_5191	7227_3855	507601_3941	9606_1077
10090_12039	3702_7747	31033_8014	294381_366	7227_3373	507601_5021	9606_605
31033_6557	3702_7902	10090_4872	578460_628	7227_4271	507601_2932	9606_10824
294381_2394	3702_8140	10090_7788	31033_33496	507601_534	7227_2477	9606_8179
294381_2223	3702_8242	10090_480	31033_42023	507601_873	7227_5305	578460_1229
294381_5689	3702_8247	10090_8377	31033_35224	7227_10776	9606_4435	578460_1025
10090_3037	3702_8271	31033_7587	294381_7925	507601_6041	7227_5292	9606_7200
3702_8464	294381_4579	507601_5598	7227_1583	578460_7	31033_16968	9606_8223
294381_2791	3702_8784	31033_1295	10090_14976	7227_4252	9606_2453	507601_4413
294381_1332	3702_10272	31033_45910	10090_11632	7227_14795	507601_3815	9606_2516
10090_13376	3702_12573	31033_40131	294381_2872	7227_5093	578460_1975	9606_4732
294381_567	3702_12786	10090_10000	31033_646	507601_6972	7227_13842	9606_17907
31033_10549	3702_13441	10090_2576	578460_389	7227_19222	507601_7476	9606_8614
10090_11778	3702_13802	294381_373	31033_10813	507601_6465	7227_8040	9606_29524
10090_4300	3702_14318	31033_46001	7227_2085	294381_3073	9606_3337	507601_7319
10090_1540	3702_14462	31033_22333	294381_6048	7227_12724	507601_5281	9606_723
294381_5804	3702_14511	31033_4116	10090_711	7227_10370	9606_76867	578460_538
10090_814	3702_14557	31033_47617	294381_6388	7227_9963	507601_3280	9606_988
294381_3506	3702_15608	10090_15358	31033_2275	507601_7306	7227_346	9606_2072
10090_4286	3702_16078	31033_8526	507601_1564	7227_13324	9606_26495	294381_7728
294381_6841	3702_16869	10090_4890	31033_39347	7227_18558	507601_1385	9606_9781
294381_6741	3702_17020	31033_24707	10090_7413	578460_1385	7227_4931	9606_8421
31033_37290	3702_17238	10090_681	507601_588	7227_12435	294381_5040	9606_23121
10090_15132	3702_17253	31033_38159	507601_993	7227_14692	578460_1999	9606_43
10090_11627	3702_18389	31033_41203	294381_5707	7227_2667	507601_1399	9606_12374
294381_7416	3702_19539	31033_39704	10090_1606	507601_667	9606_1660	578460_2417
294381_7876	3702_19645	10090_4327	31033_26590	7227_17253	578460_729	9606_11113
10090_21806	3702_20323	31033_33517	294381_3853	7227_17075	507601_5713	9606_3714
294381_3710	3702_20406	10090_563	31033_41334	7227_299	507601_6831	9606_28180
10090_22568	3702_21025	31033_29090	294381_4799	507601_6985	7227_11292	9606_23810
10090_4149	3702_21064	31033_16290	294381_5475	7227_3603	9606_25672	578460_1150
294381_4439	3702_21484	10090_15120	31033_6848	7227_17520	507601_3655	9606_3519
294381_304	3702_22036	31033_12361	10090_9895	7227_4713	507601_247	9606_30943
294381_3927	3702_22239	578460_154	7227_5291	10090_199	31033_37192	507601_6538
10090_6378	3702_22275	31033_179	507601_7223	7227_5923	9606_32458	578460_1196
294381_6575	3702_22441	10090_15714	31033_41094	7227_1055	507601_8041	9606_18086
31033_6407	3702_23096	10090_8582	7227_21587	507601_4124	578460_451	9606_10469
294381_5519	3702_23194	31033_16886	10090_23023	507601_5247	7227_6002	9606_2259
10090_5795	3702_23678	294381_863	31033_32537	7227_11069	9606_1480	578460_96
10090_6298	3702_23691	31033_20891	294381_6649	7227_4811	507601_1319	9606_19779
294381_1821	3702_24003	31033_19349	10090_730	507601_7151	7227_10600	9606_5782
294381_5921	3702_24495	10090_5040	31033_25546	578460_362	7227_7557	9606_6603
294381_6061	3702_24610	10090_4353	31033_27200	578460_730	7227_6544	507601_6773
10090_1570	3702_24625	31033_2409	7227_15066	578460_916	9606_2424	507601_7312
10090_3089	3702_24738	31033_36944	294381_7601	7227_8041	507601_6912	9606_5870
10090_7657	3702_24968	31033_22130	7227_3353	9606_30294	294381_6309	507601_4092
294381_5138	3702_25256	10090_4057	31033_29968	7227_7717	578460_1416	9606_12458
294381_2666	3702_25824	10090_8241	31033_13074	7227_16421	507601_2253	9606_579
294381_285	3702_25843	31033_42550	10090_9098	7227_8507	9606_2077	578460_226
294381_7513	3702_26358	10090_6039	31033_39873	7227_7745	507601_3960	9606_14675
31033_8956	3702_27956	294381_5983	10090_1625	507601_6661	7227_13670	9606_16481
31033_6092	3702_28317	10090_2125	7227_10256	507601_2797	294381_2556	9606_20423
294381_1549	3702_28377	10090_29422	578460_2223	7227_9186	507601_6649	9606_27525
10090_2935	3702_28606	31033_44171	507601_2466	7227_15914	294381_796	9606_3405
10090_9877	3702_28649	31033_28066	294381_1096	7227_19605	578460_359	9606_5013
294381_4584	3702_28939	10090_12062	31033_30571	507601_6647	7227_12006	9606_12362
10090_18220	3702_29349	31033_8466	7227_3541	507601_5814	9606_36865	294381_904
294381_2553	3702_29978	31033_27098	10090_7831	7227_4209	507601_7275	9606_13079
3702_30056	10090_943	294381_1576	507601_581	7227_13951	578460_851	9606_7404
294381_3175	3702_30072	10090_12327	31033_7624	7227_14951	507601_7393	9606_20699
10090_558	3702_30123	294381_6811	31033_14738	7227_16478	507601_5157	9606_10755
294381_1016	3702_30138	10090_8710	31033_10425	7227_3402	507601_1043	9606_28024
10090_9712	3702_30402	31033_44117	507601_626	7227_5233	294381_1165	9606_6904
294381_1478	3702_30511	10090_8293	31033_40068	507601_1730	7227_12658	9606_6038
294381_1301	3702_30918	10090_7676	31033_233	7227_11278	507601_7800	9606_26405
10090_12519	3702_31036	294381_6445	31033_21416	7227_19193	9606_1950	507601_1267
294381_6594	3702_31478	10090_2137	31033_9710	507601_2403	7227_11873	9606_553
31033_39906	3702_32039	294381_2542	10090_2830	578460_2187	7227_12105	9606_2191
294381_5662	7227_20656	10090_22953	31033_15413	507601_7849	9606_11821	9606_27404
31033_17634	3702_32592	294381_3913	10090_20018	578460_174	7227_5902	9606_7907
10090_7755	3702_32614	31033_5754	294381_7075	7227_14034	507601_6127	9606_3208
31033_46367	10090_12126	7227_421	578460_81	507601_3911	294381_2928	9606_11384
294381_7892	3702_32924	10090_24055	31033_41039	7227_10471	507601_1301	9606_2808
31033_345	3702_33204	10090_19138	507601_5267	7227_14486	9606_4649	294381_2267
294381_4928	3702_34246	10090_1247	31033_39102	7227_10065	507601_7436	9606_9520
294381_7833	3702_35121	31033_4054	10090_29962	507601_4863	7227_12953	9606_13308
294381_5554	3702_35695	10090_12107	31033_46357	7227_15272	507601_3690	9606_9308
10090_350	3702_36138	31033_7657	294381_8066	7227_13234	507601_3936	9606_5722
10090_33485	3702_36147	31033_12829	578460_438	7227_2747	294381_5162	9606_7124
294381_322	3702_36315	10090_17297	507601_5572	7227_4289	31033_40982	9606_4102
294381_539	3702_36499	10090_14229	31033_39378	7227_9458	507601_2435	9606_9494
294381_7794	3702_36545	10090_709	31033_5386	7227_12685	507601_6166	9606_31048
31033_37129	3702_36548	294381_7615	10090_5667	7227_11226	578460_1323	9606_29470
294381_6467	3702_36554	10090_9395	31033_28929	7227_4645	507601_2515	9606_32265
507601_1619	7227_7069	578460_1525	3702_4282	31033_14629	10090_3241	9606_17553
578460_1145	7227_9162	294381_3206	507601_1306	10090_446	31033_24960	9606_812
3702_32372	7227_9771	507601_4668	294381_2401	10090_6410	31033_34415	9606_19613
3702_7175	7227_11025	578460_1205	10090_6355	31033_28720	9606_27480	507601_7095
31033_14173	294381_1288	10090_19943	7227_32	507601_1414	9606_17457
31033_24574	3702_296	10090_33203	7227_5999	294381_555	9606_18880
31033_22888	3702_513	10090_6810	7227_15580	507601_6331	9606_5260
294381_4355	3702_819	10090_8416	31033_5220	7227_10735	507601_7613
10090_3644	3702_927	31033_29258	507601_493	7227_2434	9606_4088
31033_26914	3702_1341	10090_4873	7227_6129	9606_3143	578460_1745
10090_8579	3702_1731	31033_40975	7227_3469	507601_1622	9606_16358
10090_11072	3702_1736	31033_36282	507601_3694	7227_5272	9606_650
31033_32553	3702_1824	10090_392	507601_1118	7227_8692	9606_1626
31033_47661	3702_1999	10090_4698	507601_16	7227_18443	9606_7463
31033_38653	3702_2000	10090_10625	507601_3524	7227_6960	9606_8517
10090_22326	3702_2003	31033_46530	507601_5443	7227_3149	9606_25652
294381_7335	3702_2012	10090_8446	7227_11132	31033_41309	9606_7093
10090_1262	3702_2190	31033_44635	294381_6608	7227_5276	9606_4591
31033_30	3702_2204	10090_3079	7227_7035	507601_5005	9606_27182
10090_23822	3702_2241	31033_47713	7227_3151	9606_26326	507601_8056
10090_4042	3702_2626	31033_43482	7227_21745	507601_8087	9606_6310
294381_5946	3702_2723	31033_18368	578460_1042	7227_3061	507601_788
10090_6727	3702_2841	294381_644	31033_47710	7227_16170	9606_2375
10090_5273	3702_2898	31033_22320	7227_10638	507601_4679	9606_13840
10090_6499	3702_2900	31033_3886	507601_5299	7227_13683	9606_12962
10090_2501	3702_2901	31033_16904	507601_6504	7227_4241	9606_7529
10090_14487	3702_2903	31033_24988	507601_482	7227_11032	9606_1962
10090_2303	3702_2913	7227_13061	31033_29438	9606_4096	294381_6008
10090_952	3702_2929	31033_31422	7227_5744	507601_6367	9606_9806
10090_3980	3702_3024	31033_7151	7227_2876	507601_4502	9606_1150
10090_6082	3702_3037	31033_21512	7227_2635	507601_1525	9606_4955
31033_9546	3702_3112	10090_2468	294381_3953	7227_6118	9606_9822
10090_975	3702_3747	31033_15585	7227_505	507601_2641	9606_20486
10090_1992	3702_3822	31033_19113	294381_811	7227_8067	9606_10993
10090_8363	3702_3878	294381_1169	31033_12095	7227_5645	9606_23031
10090_17369	3702_4179	31033_26724	7227_17333	9606_7557	294381_4373
10090_19230	3702_4285	7227_8958	31033_12281	9606_14958	294381_2266
10090_4735	3702_4479	31033_27478	7227_12680	507601_164	9606_7905
10090_16855	3702_4482	31033_42722	507601_4168	7227_4230	9606_7100
10090_10913	3702_4626	294381_1059	507601_2698	7227_12752	9606_14779
294381_4179	31033_5242	7227_2191	507601_4362	10090_25042	9606_29117
10090_10406	3702_4734	31033_4242	507601_2564	7227_5230	9606_27882
31033_47274	3702_4735	10090_3305	507601_7855	7227_15556	9606_7253
10090_7661	3702_4751	31033_33249	507601_3915	7227_12276	9606_2175
31033_15841	3702_4775	10090_2834	7227_13756	507601_4606	9606_7506
10090_5814	3702_4812	31033_42696	507601_7255	7227_4382	9606_30877
10090_4023	3702_4958	31033_18893	507601_1561	7227_9569	9606_29800
10090_12106	3702_4983	31033_15960	7227_13295	507601_3585	9606_19351
10090_1588	3702_5133	31033_20259	7227_5053	507601_6595	9606_722
31033_1994	3702_5153	10090_12835	7227_4574	507601_6219	578460_1236
294381_6419	3702_5193	10090_5389	31033_42834	7227_931	9606_11607
10090_2432	3702_5301	31033_39790	507601_1846	7227_15484	9606_4559
10090_8428	3702_5415	31033_42626	294381_3106	7227_6019	9606_22455
10090_4740	3702_5519	578460_1149	7227_3030	507601_7075	9606_2583
31033_10523	3702_5548	294381_7492	7227_5750	507601_526	578460_1384
31033_4412	3702_5635	10090_4463	578460_1817	7227_15968	9606_10102
31033_22630	3702_5665	10090_8415	7227_15458	507601_5405	9606_8015
294381_268	3702_5846	10090_8995	31033_35351	7227_2462	9606_23216
